Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EPILEPSY, CHILDHOOD ABSENCE, 1	3/7	5.767081226392493E-9	1.3091274383910958E-6	0	0	1665.3333333333333	31593.2047632245	GABRB3;GABRA1;GABRG2
Hypotonic seizures	3/16	9.199757900163761E-8	6.961150144457247E-6	0	0	512.1794871794872	8298.077792807133	GABRB3;GABRA1;GABRG2
Sudden loss of muscle tone	3/16	9.199757900163761E-8	6.961150144457247E-6	0	0	512.1794871794872	8298.077792807133	GABRB3;GABRA1;GABRG2
Infantile Severe Myoclonic Epilepsy	3/33	8.912167972024369E-7	4.850451202341036E-5	0	0	221.75555555555556	3089.205265788991	GABRB3;GABRA1;GABRG2
Juvenile Myoclonic Epilepsy	3/35	1.0683813221015497E-6	4.850451202341036E-5	0	0	207.875	2858.149423571084	GABRB3;GABRA1;GABRG2
Epilepsy	7/1177	1.464395667215617E-6	5.540296940965752E-5	0	0	22.517264957264956	302.4984666835283	GABRB3;GABRB2;GABRA1;KCNC1;KCND2;KCNIP3;GABRG2
Epilepsy, Temporal Lobe	4/181	3.034849153444438E-6	9.032618980098498E-5	0	0	55.963276836158194	711.0329542657049	GABRB3;GABRB2;GABRA1;KCND2
Idiopathic generalized epilepsy	3/50	3.183301843206519E-6	9.032618980098498E-5	0	0	141.4255319148936	1790.1066225817303	GABRB3;GABRA1;GABRG2
Epilepsy, Generalized	3/55	4.253736417996487E-6	1.0728868520946695E-4	0	0	127.7948717948718	1580.5302721937883	GABRB3;GABRA1;GABRG2
Epileptic encephalopathy	5/468	4.7482997128176135E-6	1.0778640348095983E-4	0	0	30.121875964208577	369.2256407023876	GABRB3;GABRB2;GABRA1;KCNC1;GABRG2
Absence Epilepsy	3/60	5.539072408065227E-6	1.1430631242098242E-4	0	0	116.55555555555556	1410.7515553793562	GABRB3;GABRA1;GABRG2
Febrile Convulsions	3/64	6.734911299521158E-6	1.2740207208260858E-4	0	0	108.89071038251366	1296.6930018213682	GABRB3;GABRA1;GABRG2
Neuroleptic-Induced Tardive Dyskinesia	2/8	9.221402746009655E-6	1.4946902394148367E-4	0	0	666.0666666666667	7722.365870178143	GABRB2;DPP6
Juvenile Absence Epilepsy	2/9	1.1852169299324696E-5	1.4946902394148367E-4	0	0	570.8857142857142	6475.556453852173	GABRB3;GABRG2
Akinetic Petit Mal	2/9	1.1852169299324696E-5	1.4946902394148367E-4	0	0	570.8857142857142	6475.556453852173	GABRB3;GABRG2
Pschomotor retardation	2/9	1.1852169299324696E-5	1.4946902394148367E-4	0	0	570.8857142857142	6475.556453852173	GABRA1;GABRG2
Epilepsy, Absence, Atypical	2/9	1.1852169299324696E-5	1.4946902394148367E-4	0	0	570.8857142857142	6475.556453852173	GABRB3;GABRG2
Obtundation status	2/9	1.1852169299324696E-5	1.4946902394148367E-4	0	0	570.8857142857142	6475.556453852173	GABRA1;GABRG2
Myoclonic Epilepsies, Progressive	3/88	1.7595483032740044E-5	1.9560364354322436E-4	0	0	78.05098039215686	854.4918567296451	GABRA1;KCNC1;GABRG2
Neurodevelopmental delay	2/11	1.8095491252897406E-5	1.9560364354322436E-4	0	0	443.97777777777776	4848.169738948008	GABRA1;GABRG2
Focal Clonic Seizures	2/11	1.8095491252897406E-5	1.9560364354322436E-4	0	0	443.97777777777776	4848.169738948008	GABRA1;GABRG2
Childhood Absence Epilepsy	2/12	2.170739140750197E-5	2.2398081134104308E-4	0	0	399.56	4290.418437618562	GABRB3;GABRG2
Hepatic Stupor	2/14	2.9910033177640367E-5	2.828990638051818E-4	0	0	332.93333333333334	3468.271932060884	GABRA1;GABRG2
Fulminant Hepatic Failure with Cerebral Edema	2/14	2.9910033177640367E-5	2.828990638051818E-4	0	0	332.93333333333334	3468.271932060884	GABRA1;GABRG2
Hepatic Coma	2/15	3.450012056424365E-5	3.132610947233324E-4	0	0	307.3076923076923	3157.447555274819	GABRA1;GABRG2
Epileptic drop attack	3/115	3.9230144143165024E-5	3.425093354037869E-4	0	0	59.154761904761905	600.1880666473006	GABRB3;GABRA1;GABRG2
Dystonia Disorders	3/135	6.328376569172179E-5	5.320524004452165E-4	0	0	50.14141414141414	484.76126158747786	GABRB3;GABRA1;GABRG2
Alcoholic Intoxication, Chronic	4/424	8.613130998441794E-5	6.982788345165312E-4	0	0	23.295238095238094	218.03498558260824	GABRB3;GABRB2;GABRA1;GABRG2
Dystonia, Primary	2/25	9.824463189820386E-5	7.690183255480096E-4	0	0	173.6086956521739	1602.0697145166423	GABRB3;GABRG2
Hepatic Encephalopathy	2/36	2.055597839412204E-4	0.0015554023651552344	0	0	117.37647058823529	996.4996667678745	GABRA1;GABRG2
Cerebellar Ataxia	4/565	2.603529946264734E-4	0.0019041727599775748	0	0	17.314616755793228	142.90570763396937	GABRB3;GABRA1;KCNC1;GABRG2
Nonorganic psychosis	3/220	2.684296401730502E-4	0.0019041727599775748	0	0	30.37019969278034	249.73177488062447	GABRB2;GABRA1;GABRG2
Tremor	3/226	2.9051153043366067E-4	0.001998367194195181	0	0	29.5440956651719	240.60319432320557	GABRA1;KCNC1;GABRG2
Hypoalbuminemia	2/46	3.3658272069457453E-4	0.0022471846352255416	0	0	90.65454545454546	724.9341768950484	GABRA1;GABRG2
Infantile Spasm	2/48	3.6658213136612E-4	0.0023775469662888353	0	0	86.70434782608696	685.9430634910701	GABRB3;GABRA1
Seizures	5/1174	3.865871388749024E-4	0.002437646681238968	0	0	11.498839056580715	90.3596396072963	GABRB3;GABRA1;KCNC1;KCND2;GABRG2
Brugada Syndrome (disorder)	2/55	4.814776145385075E-4	0.0029539302297362487	0	0	75.22641509433963	574.6283172633098	KCND2;KCNIP2
Autistic Disorder	4/677	5.183818073527616E-4	0.0030966492176072867	0	0	14.349925705794949	108.55429656025652	GABRB3;GABRB2;GABRA1;KCND2
Generalized myoclonic seizures	2/59	5.540143472810427E-4	0.003224647611097351	0	0	69.93333333333334	524.382510177056	GABRA1;GABRG2
Heroin Dependence	2/62	6.116859859072667E-4	0.0034713179700237382	0	0	66.42666666666666	491.5102701763712	GABRB3;GABRB2
West Syndrome	2/67	7.140068594000316E-4	0.003953159928873346	0	0	61.30153846153846	444.10622827148427	GABRB3;GABRA1
Psychotic Disorders	3/317	7.80334291791132E-4	0.00421752105325207	0	0	20.88535031847134	149.45114233579224	GABRB2;GABRA1;GABRG2
Photosensitivity of skin	2/73	8.469756722727654E-4	0.0044712436652539	0	0	56.10422535211268	396.87223413076885	GABRA1;GABRG2
Dyskinetic syndrome	2/78	9.662232834523858E-4	0.0049848337578111725	0	0	52.4	363.7668578681481	GABRB3;DPP6
Alcohol Use Disorder	2/88	0.0012275727583483554	0.006192422581001704	0	0	46.283720930232555	310.22665655623547	GABRA1;GABRG2
Alcohol abuse	2/107	0.0018071154231623758	0.008917721762127377	0	0	37.87238095238095	239.20284407557955	GABRA1;GABRG2
Involuntary jerking movements	2/123	0.002378188173300596	0.011017320721208883	0	0	32.83801652892562	198.3881300558226	GABRB3;KCNC1
Spasmodic movement	2/123	0.002378188173300596	0.011017320721208883	0	0	32.83801652892562	198.3881300558226	GABRB3;KCNC1
Absence Seizures	2/123	0.002378188173300596	0.011017320721208883	0	0	32.83801652892562	198.3881300558226	GABRA1;GABRG2
Amyotrophic Lateral Sclerosis, Sporadic	2/136	0.0028971640392483618	0.013153124738187562	0	0	29.632835820895522	173.17497225422156	GABRA1;DPP6
Electroencephalogram abnormal	2/141	0.0031097406130250614	0.01384139449326841	0	0	28.559712230215826	164.88138647309322	GABRA1;GABRG2
Familial Tremor	1/6	0.0035949984464796287	0.014718359438791972	0	0	363.3272727272727	2044.8828145385057	GABRA1
Chorioretinal degeneration	1/6	0.0035949984464796287	0.014718359438791972	0	0	363.3272727272727	2044.8828145385057	DPP6
EEG with focal sharp slow waves	1/6	0.0035949984464796287	0.014718359438791972	0	0	363.3272727272727	2044.8828145385057	GABRB3
Symptomatic Generalized Epilepsy	1/6	0.0035949984464796287	0.014718359438791972	0	0	363.3272727272727	2044.8828145385057	GABRB3
