"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","pathological diagnostic:ch1","tissue type:ch1"
"GSM831749","ATC23","GSM831749","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","10-ATC23-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831749/suppl/GSM831749_10-ATC23-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831750","ATC24","GSM831750","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","11-ATC24-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831750/suppl/GSM831750_11-ATC24-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831751","ATC12","GSM831751","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","2-ATC12-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831751/suppl/GSM831751_2-ATC12-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831752","ATC13","GSM831752","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","3-ATC13-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831752/suppl/GSM831752_3-ATC13-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831753","ATC14","GSM831753","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","4-ATC14-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831753/suppl/GSM831753_4-ATC14-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831754","ATC15","GSM831754","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","5-ATC15-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831754/suppl/GSM831754_5-ATC15-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831755","ATC16","GSM831755","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","6-ATC16-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831755/suppl/GSM831755_6-ATC16-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831756","ATC17","GSM831756","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","7-ATC17-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831756/suppl/GSM831756_7-ATC17-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831757","ATC21","GSM831757","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","8-ATC21-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831757/suppl/GSM831757_8-ATC21-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
"GSM831758","ATC22","GSM831758","Public on Nov 09 2012","Nov 11 2011","Nov 09 2012","RNA","1","tumour","Homo sapiens","pathological diagnostic: anaplastic thyroid carcinoma (ATC)","tissue type: tumour","total RNA","Total RNA was extracted from thyroid tissues using Trizol reagent (Invitrogen), followed by purification on RNeasy columns (Qiagen). The RNA concentration was spectrophotometrically quantified, and its integrity was verified using an automated gel electrophoresis system (Experion, Biorad).","biotin","standard Affymetrix protocol","9606","standard Affymetrix protocol","standard Affymetrix protocol","anaplastic thyroid carcinoma","9-ATC22-Plus.CEL","CEL files were normalized with RMA using the affy Bioconductor package","GPL570","Gil,,Tomas","gil.tomas@ulb.ac.be","IRIBHM","ULB","808 route de Lennik","Brussels","1070","Belgium","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM831nnn/GSM831758/suppl/GSM831758_9-ATC22-Plus.CEL.gz","54675","anaplastic thyroid carcinoma (ATC)","tumour"
