"","x"
"1","TCGA-BJ-A28W-11A"
"2","TCGA-EM-A1CT-11A"
"3","TCGA-EL-A4JZ-11A"
"4","TCGA-ET-A2MY-11B"
"5","TCGA-EL-A3MX-11A"
"6","TCGA-EL-A4K1-11A"
"7","TCGA-KS-A4I9-11A"
"8","TCGA-EL-A4KD-11A"
"9","TCGA-DO-A1JZ-11A"
"10","TCGA-BJ-A45F-11A"
"11","TCGA-EL-A3TA-11A"
"12","TCGA-EL-A4JX-11A"
"13","TCGA-EL-A3ZK-11A"
"14","TCGA-EL-A3ZP-11A"
"15","TCGA-EL-A3MZ-11A"
"16","TCGA-BJ-A2NA-11A"
"17","TCGA-EL-A3T1-11A"
"18","TCGA-EM-A1CW-11A"
"19","TCGA-BJ-A45D-11A"
"20","TCGA-EM-A1CS-11A"
"21","TCGA-EL-A4JW-11A"
"22","TCGA-EL-A3T2-11A"
"23","TCGA-EL-A4K4-11A"
"24","TCGA-EL-A3H2-11A"
"25","TCGA-EL-A3GZ-11A"
"26","TCGA-ET-A2N5-11B"
"27","TCGA-BJ-A45G-11A"
"28","TCGA-EL-A3T0-11A"
"29","TCGA-KS-A41L-11A"
"30","TCGA-EL-A4K9-11A"
"31","TCGA-EL-A3ZR-11A"
"32","TCGA-EL-A4JV-11A"
"33","TCGA-KS-A4IC-11A"
"34","TCGA-EL-A3ZL-11A"
"35","TCGA-EL-A3T3-11A"
"36","TCGA-BJ-A2N9-11A"
"37","TCGA-EL-A3T9-11A"
"38","TCGA-BJ-A2N8-11A"
"39","TCGA-BJ-A45I-11A"
"40","TCGA-E8-A2JQ-11A"
"41","TCGA-EL-A3T6-11A"
"42","TCGA-BJ-A2N7-11A"
"43","TCGA-EL-A3MW-11A"
"44","TCGA-EL-A4K2-11A"
"45","TCGA-EM-A1CV-11A"
"46","TCGA-KS-A4I3-11A"
"47","TCGA-BJ-A45K-11A"
"48","TCGA-ET-A25N-11A"
"49","TCGA-EM-A1CU-11A"
"50","TCGA-EL-A3ZT-11A"
"51","TCGA-EM-A1YC-11A"
"52","TCGA-EM-A3ST-11A"
"53","TCGA-KS-A41F-11A"
"54","TCGA-EL-A3ZS-11A"
"55","TCGA-EM-A1YD-11A"
"56","TCGA-EL-A4K0-11A"
"57","TCGA-EL-A3H1-11A"
"58","TCGA-BJ-A45E-11A"
"59","TCGA-EL-A3ZN-11A"
"60","TCGA-EL-A3H7-11A"
"61","TCGA-EL-A4K6-11A"
"62","TCGA-BJ-A3PR-11A"
"63","TCGA-EL-A3N3-11A"
"64","TCGA-EM-A1YE-11A"
"65","TCGA-EL-A4K7-11A"
"66","TCGA-BJ-A28X-11A"
"67","TCGA-FY-A3TY-11A"
"68","TCGA-KS-A4I1-11A"
"69","TCGA-EL-A3N2-11A"
"70","TCGA-KS-A41I-11A"
"71","TCGA-EL-A3TB-11A"
"72","TCGA-EL-A3ZM-11A"
"73","TCGA-KS-A4ID-11A"
"74","TCGA-GE-A2C6-11A"
"75","TCGA-EL-A3ZG-11A"
"76","TCGA-BJ-A4O9-11A"
"77","TCGA-ET-A3DW-11A"
"78","TCGA-BJ-A28T-11A"
"79","TCGA-EL-A3T7-11A"
"80","TCGA-EL-A3ZH-11A"
"81","TCGA-EL-A3ZQ-11A"
"82","TCGA-H2-A3RI-11A"
"83","TCGA-KS-A4I7-11A"
"84","TCGA-BJ-A4O8-11A"
"85","TCGA-BJ-A290-11A"
"86","TCGA-BJ-A3PU-11A"
"87","TCGA-BJ-A28R-11A"
"88","TCGA-EL-A3T8-11A"
"89","TCGA-KS-A41J-11A"
"90","TCGA-BJ-A45J-11A"
"91","TCGA-KS-A4IB-11A"
"92","TCGA-ET-A25J-11A"
"93","TCGA-ET-A3DP-11A"
"94","TCGA-H2-A2K9-11A"
"95","TCGA-ET-A3DV-11A"
"96","TCGA-KS-A4I5-11A"
"97","TCGA-EL-A3GU-11A"
"98","TCGA-EL-A3MY-11A"
"99","TCGA-EL-A3ZO-11A"
"100","TCGA-ET-A2MX-11C"
