"","x"
"1","TCGA-BJ-A28W-01A"
"2","TCGA-EM-A1CT-01A"
"3","TCGA-EL-A4JZ-01A"
"4","TCGA-EL-A3CT-01A"
"5","TCGA-ET-A2MY-01A"
"6","TCGA-ET-A3DQ-01A"
"7","TCGA-ET-A3BS-01A"
"8","TCGA-EM-A4FM-01A"
"9","TCGA-EL-A3CU-01A"
"10","TCGA-DJ-A3UX-01A"
"11","TCGA-FE-A232-01A"
"12","TCGA-EM-A3FM-01A"
"13","TCGA-EM-A3AR-01A"
"14","TCGA-BJ-A0YZ-01A"
"15","TCGA-EM-A2OY-01A"
"16","TCGA-FE-A239-01A"
"17","TCGA-EL-A3MX-01A"
"18","TCGA-DJ-A4V2-01A"
"19","TCGA-EL-A4K1-01A"
"20","TCGA-FK-A3SB-01A"
"21","TCGA-DJ-A3VD-01A"
"22","TCGA-FE-A231-01A"
"23","TCGA-KS-A4I9-01A"
"24","TCGA-ET-A39S-01A"
"25","TCGA-DJ-A2QB-01A"
"26","TCGA-H2-A3RH-01A"
"27","TCGA-CE-A484-01A"
"28","TCGA-ET-A39M-01A"
"29","TCGA-EL-A4KD-01A"
"30","TCGA-DO-A1K0-01A"
"31","TCGA-FY-A3BL-01A"
"32","TCGA-J8-A3YE-01A"
"33","TCGA-FE-A3PD-01A"
"34","TCGA-EM-A3FR-01A"
"35","TCGA-EM-A2P3-01A"
"36","TCGA-EM-A4FQ-01A"
"37","TCGA-E8-A3X7-01A"
"38","TCGA-DJ-A2PO-01A"
"39","TCGA-DO-A1JZ-01A"
"40","TCGA-BJ-A45F-01A"
"41","TCGA-EM-A22K-01A"
"42","TCGA-FY-A3NN-01A"
"43","TCGA-J8-A3O0-01A"
"44","TCGA-EL-A3TA-01A"
"45","TCGA-FY-A3R6-01A"
"46","TCGA-EM-A3SZ-01A"
"47","TCGA-J8-A3YG-01A"
"48","TCGA-DJ-A4UL-01A"
"49","TCGA-DJ-A1QF-01A"
"50","TCGA-EM-A4FO-01A"
"51","TCGA-DJ-A3VL-01A"
"52","TCGA-DJ-A3UN-01A"
"53","TCGA-EL-A3CV-01A"
"54","TCGA-DE-A0Y3-01B"
"55","TCGA-MK-A4N9-01A"
"56","TCGA-EM-A3FK-01A"
"57","TCGA-DJ-A2Q2-01A"
"58","TCGA-FE-A3PB-01A"
"59","TCGA-EM-A3O9-01A"
"60","TCGA-EL-A4KG-01A"
"61","TCGA-DJ-A3UV-01A"
"62","TCGA-EM-A3AP-01A"
"63","TCGA-ET-A3BQ-01B"
"64","TCGA-EL-A4JX-01A"
"65","TCGA-DJ-A2Q5-01A"
"66","TCGA-EL-A3ZK-01A"
"67","TCGA-ET-A3BT-01A"
"68","TCGA-FE-A22Z-01A"
"69","TCGA-EL-A3ZP-01A"
"70","TCGA-BJ-A0ZE-01A"
"71","TCGA-EM-A3SY-01A"
"72","TCGA-FY-A3R9-01A"
"73","TCGA-DJ-A4UT-01A"
"74","TCGA-DJ-A13W-01A"
"75","TCGA-DJ-A4UR-01A"
"76","TCGA-E8-A242-01A"
"77","TCGA-EL-A3MZ-01A"
"78","TCGA-ET-A39N-01A"
"79","TCGA-EM-A2CM-01A"
"80","TCGA-FE-A237-01A"
"81","TCGA-DJ-A13S-01A"
"82","TCGA-BJ-A2NA-01A"
"83","TCGA-IM-A420-01A"
"84","TCGA-EM-A3OB-01A"
"85","TCGA-EL-A3T1-01A"
"86","TCGA-DJ-A4V5-01A"
"87","TCGA-FK-A3SG-01A"
"88","TCGA-BJ-A45C-01A"
"89","TCGA-DE-A7U5-01A"
"90","TCGA-FE-A235-01A"
"91","TCGA-EL-A3GR-01A"
"92","TCGA-EM-A2P0-01A"
"93","TCGA-DJ-A3UM-01A"
"94","TCGA-EM-A1CW-01A"
"95","TCGA-BJ-A45D-01A"
"96","TCGA-EM-A1CS-01A"
"97","TCGA-BJ-A0Z3-01A"
"98","TCGA-EL-A3GW-01A"
"99","TCGA-FE-A233-01A"
"100","TCGA-DJ-A13X-01A"
"101","TCGA-FY-A3ON-01A"
"102","TCGA-EL-A4JW-01A"
"103","TCGA-IM-A3ED-01A"
"104","TCGA-EL-A3T2-01A"
"105","TCGA-DJ-A1QO-01A"
"106","TCGA-EM-A3O3-01A"
"107","TCGA-DJ-A3V7-01A"
"108","TCGA-EM-A3AQ-01A"
"109","TCGA-J8-A42S-01A"
"110","TCGA-DJ-A2Q1-01A"
"111","TCGA-DJ-A1QD-01A"
"112","TCGA-EM-A3AN-01A"
"113","TCGA-EM-A3FO-01A"
"114","TCGA-DJ-A2PW-01A"
"115","TCGA-FY-A3W9-01A"
"116","TCGA-BJ-A18Z-01A"
"117","TCGA-CE-A483-01A"
"118","TCGA-ET-A40P-01A"
"119","TCGA-ET-A2MZ-01A"
"120","TCGA-EL-A4K4-01A"
"121","TCGA-E8-A432-01A"
"122","TCGA-CE-A3MD-01A"
"123","TCGA-FY-A3WA-01A"
"124","TCGA-EM-A3AI-01A"
"125","TCGA-BJ-A0Z9-01A"
"126","TCGA-DE-A4MA-01A"
"127","TCGA-EL-A3CM-01A"
"128","TCGA-EL-A3H2-01A"
"129","TCGA-EL-A3CP-01A"
"130","TCGA-L6-A4EP-01A"
"131","TCGA-4C-A93U-01A"
"132","TCGA-DJ-A3V3-01A"
"133","TCGA-EL-A3GZ-01A"
"134","TCGA-E8-A2EA-01A"
"135","TCGA-ET-A2N5-01A"
"136","TCGA-CE-A13K-01A"
"137","TCGA-IM-A41Y-01A"
"138","TCGA-EM-A22I-01A"
"139","TCGA-ET-A39P-01A"
"140","TCGA-ET-A4KQ-01A"
"141","TCGA-BJ-A45G-01A"
"142","TCGA-DJ-A3V9-01A"
"143","TCGA-EL-A3GO-01A"
"144","TCGA-EL-A3T0-01A"
"145","TCGA-ET-A25M-01A"
"146","TCGA-MK-A4N6-01A"
"147","TCGA-BJ-A3EZ-01A"
"148","TCGA-DJ-A2PV-01A"
"149","TCGA-L6-A4EU-01A"
"150","TCGA-E8-A416-01A"
"151","TCGA-ET-A2N0-01A"
"152","TCGA-E8-A419-01A"
"153","TCGA-KS-A41L-01A"
"154","TCGA-EM-A2OW-01A"
"155","TCGA-EM-A2CS-01A"
"156","TCGA-EL-A3H5-01A"
"157","TCGA-DE-A4M9-01A"
"158","TCGA-EL-A3CN-01A"
"159","TCGA-DJ-A3VJ-01A"
"160","TCGA-J8-A3O1-01A"
"161","TCGA-EM-A2OV-01A"
"162","TCGA-EM-A3O7-01A"
"163","TCGA-BJ-A0ZH-01A"
"164","TCGA-EL-A4K9-01A"
"165","TCGA-EM-A1YA-01A"
"166","TCGA-E3-A3E2-01A"
"167","TCGA-EM-A3O8-01A"
